id,good_ingredients,bad_ingredients
476,"['glycerin', 'centella asiatica extract', 'ethylhexyl glycerin', 'allantoin', 'sodium hyaluronate']",['dipropylene glycol']
477,['glycerin'],[]
478,"['glycerin', 'panthenol', 'allantoin', 'linoleic acid']","['dipropylene glycol', 'propylene glycol']"
479,"['glycerin', 'sodium hyaluronate']",[]
480,"['glycerin', 'centella asiatica extract', 'allantoin', 'panthenol', 'ethylhexyl glycerin']",['dipropylene glycol']
481,"['glycerin', 'panthenol', 'sodium hyaluronate', 'ethylhexyl glycerin', 'tocopherol', 'titanium dioxide']",[]
482,"['glycerin', 'panthenol', 'allantoin', 'sodium hyaluronate', 'centella asiatica extract', 'ethylhexyl glycerin']",[]
483,"['glycerin', 'panthenol', 'sodium hyaluronate']",[]
484,"['titanium dioxide', 'glycerin', 'tocopherol', 'panthenol', 'ethylhexyl glycerin']",[]
485,[],[]
486,"['glycerin', 'ethylhexyl glycerin']",[]
487,"['glycerin', 'sodium hyaluronate']",[]
488,"['glycerin', 'allantoin', 'ethylhexyl glycerin', 'centella asiatica extract']",[]
